gameweek_x,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,league,gameweek_y,manager,team,formation,name,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,Hansi Flick,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,34-175,90,1,0,1,100.0,0.0,1,1,100.0,36,8,2.8,21.1,1,0.0,30.0,5,0,0.0,1,26.0
1,Fri,2020-09-18,20:30 ,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Bundesliga,1,David Wagner,Schalke 04,4-4-2,Ralf Fährmann,de GER,31-357,90,11,8,3,36.4,4.9,4,23,17.4,32,5,53.1,39.6,10,60.0,43.4,14,0,0.0,0,5.0
1,Sat,2020-09-19,15:30 ,Köln,2.7,2–3,2.6,Hoffenheim,,RheinEnergieSTADION,Daniel Siebert,Bundesliga,1,Markus Gisdol,Köln,4-2-3-1,Timo Horn,de GER,27-130,90,7,3,4,71.4,3.3,11,18,61.1,50,3,30.0,30.2,7,42.9,30.4,11,0,0.0,6,23.3
1,Sat,2020-09-19,15:30 ,Köln,2.7,2–3,2.6,Hoffenheim,,RheinEnergieSTADION,Daniel Siebert,Bundesliga,1,Sebastian Hoeneß,Hoffenheim,3-4-1-2,Oliver Baumann,de GER,30-109,90,6,2,4,66.7,2.4,7,22,31.8,41,6,29.3,30.8,12,83.3,55.7,13,1,7.7,2,17.5
1,Sat,2020-09-19,15:30 ,Union Berlin,1.2,1–3,1.5,Augsburg,"4,600",Stadion An der Alten Försterei,Marco Fritz,Bundesliga,1,Urs Fischer,Union Berlin,4-3-3,Andreas Luthe,de GER,33-193,90,5,3,2,40.0,1.4,3,10,30.0,37,4,18.9,27.1,5,60.0,47.4,7,0,0.0,0,8.3
1,Sat,2020-09-19,15:30 ,Union Berlin,1.2,1–3,1.5,Augsburg,"4,600",Stadion An der Alten Försterei,Marco Fritz,Bundesliga,1,Heiko Herrlich,Augsburg,4-2-3-1,Rafał Gikiewicz,pl POL,32-329,90,3,1,2,66.7,0.4,6,18,33.3,39,8,33.3,32.6,6,83.3,58.3,26,1,3.8,0,12.7
1,Sat,2020-09-19,15:30 ,Stuttgart,2.6,2–3,1.9,Freiburg,"7,123",Mercedes-Benz Arena,Benjamin Cortus,Bundesliga,1,Pellegrino Matarazzo,Stuttgart,3-1-4-2,Gregor Kobel,ch SUI,22-288,90,5,3,2,40.0,1.4,3,4,75.0,37,4,10.8,20.9,2,0.0,16.0,5,0,0.0,2,24.3
1,Sat,2020-09-19,15:30 ,Stuttgart,2.6,2–3,1.9,Freiburg,"7,123",Mercedes-Benz Arena,Benjamin Cortus,Bundesliga,1,Christian Streich,Freiburg,4-1-3-2,Florian Müller,de GER,22-311,90,6,2,4,66.7,1.4,7,23,30.4,28,2,39.3,32.7,12,100.0,67.3,19,0,0.0,0,12.5
1,Sat,2020-09-19,15:30 ,Werder Bremen,0.7,1–4,1.8,Hertha BSC,"8,400",Weserstadion,Sascha Stegemann,Bundesliga,1,Florian Kohfeldt,Werder Bremen,4-2-2-2,Jiří Pavlenka,cz CZE,28-158,90,6,4,2,33.3,1.9,5,9,55.6,16,7,37.5,32.1,8,37.5,47.1,11,1,9.1,0,4.5
1,Sat,2020-09-19,15:30 ,Werder Bremen,0.7,1–4,1.8,Hertha BSC,"8,400",Weserstadion,Sascha Stegemann,Bundesliga,1,Bruno Labbadia,Hertha BSC,4-1-2-1-2,Alexander Schwolow,de GER,28-109,90,6,1,5,83.3,0.7,9,20,45.0,39,5,28.2,32.2,10,90.0,62.5,20,1,5.0,1,15.3
1,Sat,2020-09-19,15:30 ,Eint Frankfurt,2.3,1–1,0.8,Arminia,"6,500",Deutsche Bank Park,Benjamin Brand,Bundesliga,1,Adi Hütter,Eint Frankfurt,3-4-1-2,Kevin Trapp,de GER,30-073,90,4,1,3,75.0,1.4,7,13,53.8,31,6,32.3,27.4,7,42.9,34.6,9,0,0.0,4,22.2
1,Sat,2020-09-19,15:30 ,Eint Frankfurt,2.3,1–1,0.8,Arminia,"6,500",Deutsche Bank Park,Benjamin Brand,Bundesliga,1,Uwe Neuhaus,Arminia,4-1-4-1,Stefan Ortega,de GER,27-318,90,6,1,5,83.3,2.5,11,30,36.7,43,6,53.5,43.2,9,77.8,60.6,26,0,0.0,0,8.0
1,Sat,2020-09-19,18:30 ,Dortmund,1.8,3–0,0.6,M'Gladbach,"9,300",Signal Iduna Park,Felix Brych,Bundesliga,1,Lucien Favre,Dortmund,3-4-1-2,Roman Bürki,ch SUI,29-310,90,2,0,2,100.0,0.3,3,9,33.3,23,5,26.1,29.1,6,50.0,42.2,11,1,9.1,0,10.0
1,Sat,2020-09-19,18:30 ,Dortmund,1.8,3–0,0.6,M'Gladbach,"9,300",Signal Iduna Park,Felix Brych,Bundesliga,1,Marco Rose,M'Gladbach,3-4-3,Yann Sommer,ch SUI,31-277,90,4,3,1,50.0,2.0,0,1,0.0,23,2,4.3,21.7,6,0.0,20.2,4,0,0.0,0,9.5
1,Sun,2020-09-20,15:30 ,RB Leipzig,2.8,3–1,1.2,Mainz 05,"8,500",Red Bull Arena,Manuel Gräfe,Bundesliga,1,Julian Nagelsmann,RB Leipzig,3-4-3,Péter Gulácsi,hu HUN,30-137,90,1,1,0,0.0,0.9,3,4,75.0,34,2,11.8,23.3,4,0.0,18.3,13,0,0.0,1,23.0
1,Sun,2020-09-20,15:30 ,RB Leipzig,2.8,3–1,1.2,Mainz 05,"8,500",Red Bull Arena,Manuel Gräfe,Bundesliga,1,Achim Beierlorzer,Mainz 05,4-2-3-1,Robin Zentner,de GER,25-328,90,9,3,6,77.8,3.0,0,4,0.0,23,8,13.0,28.9,11,9.1,24.8,14,0,0.0,0,13.0
1,Sun,2020-09-20,18:00 ,Wolfsburg,0.9,0–0,0.5,Leverkusen,,Volkswagen Arena,Sven Jablonski,Bundesliga,1,Oliver Glasner,Wolfsburg,4-3-3,Koen Casteels,be BEL,28-087,90,3,0,3,100.0,0.1,9,24,37.5,41,4,48.8,38.5,5,80.0,50.4,14,1,7.1,0,5.5
1,Sun,2020-09-20,18:00 ,Wolfsburg,0.9,0–0,0.5,Leverkusen,,Volkswagen Arena,Sven Jablonski,Bundesliga,1,Peter Bosz,Leverkusen,4-1-4-1,Lukáš Hrádecký,fi FIN,30-301,90,1,0,1,100.0,0.4,5,9,55.6,40,7,17.5,26.2,6,33.3,30.3,12,0,0.0,1,12.7
2,Fri,2020-09-25,20:30 ,Hertha BSC,1.2,1–3,1.5,Eint Frankfurt,"4,000",Olympiastadion Berlin,Bastian Dankert,Bundesliga,2,Bruno Labbadia,Hertha BSC,4-1-2-1-2,Alexander Schwolow,de GER,28-115,90,3,3,0,33.3,1.8,4,6,66.7,23,2,21.7,28.3,10,10.0,27.1,11,0,0.0,2,24.0
2,Fri,2020-09-25,20:30 ,Hertha BSC,1.2,1–3,1.5,Eint Frankfurt,"4,000",Olympiastadion Berlin,Bastian Dankert,Bundesliga,2,Adi Hütter,Eint Frankfurt,3-4-1-2,Kevin Trapp,de GER,30-079,90,6,1,6,83.3,1.0,11,18,61.1,33,6,45.5,39.8,5,60.0,49.2,20,0,0.0,2,14.3
2,Sat,2020-09-26,15:30 ,Augsburg,1.2,2–0,1.8,Dortmund,"6,000",WWK Arena,Martin Petersen,Bundesliga,2,Heiko Herrlich,Augsburg,4-2-2-2,Rafał Gikiewicz,pl POL,32-336,90,6,0,6,100.0,2.1,7,17,41.2,18,7,50.0,37.3,11,72.7,58.5,30,0,0.0,1,17.5
2,Sat,2020-09-26,15:30 ,Augsburg,1.2,2–0,1.8,Dortmund,"6,000",WWK Arena,Martin Petersen,Bundesliga,2,Lucien Favre,Dortmund,3-1-4-2,Roman Bürki,ch SUI,29-317,90,4,2,2,50.0,1.8,1,3,33.3,24,4,12.5,25.6,5,0.0,24.6,6,0,0.0,1,32.0
2,Sat,2020-09-26,15:30 ,Leverkusen,0.9,1–1,0.9,RB Leipzig,"6,042",BayArena,Harm Osmers,Bundesliga,2,Peter Bosz,Leverkusen,4-1-4-1,Lukáš Hrádecký,fi FIN,30-307,90,2,1,1,50.0,0.5,6,11,54.5,36,3,27.8,31.4,6,16.7,19.2,10,0,0.0,4,19.7
2,Sat,2020-09-26,15:30 ,Leverkusen,0.9,1–1,0.9,RB Leipzig,"6,042",BayArena,Harm Osmers,Bundesliga,2,Julian Nagelsmann,RB Leipzig,3-4-3,Péter Gulácsi,hu HUN,30-143,90,4,1,3,75.0,0.5,6,17,35.3,33,3,42.4,38.2,9,33.3,33.6,16,1,6.3,2,18.7
2,Sat,2020-09-26,15:30 ,M'Gladbach,1.8,1–1,0.8,Union Berlin,"10,383",Stadion im Borussia-Park,Tobias Stieler,Bundesliga,2,Marco Rose,M'Gladbach,4-2-3-1,Yann Sommer,ch SUI,31-284,90,2,1,1,50.0,0.6,4,6,66.7,25,4,24.0,22.2,7,0.0,18.0,12,0,0.0,1,27.0
2,Sat,2020-09-26,15:30 ,M'Gladbach,1.8,1–1,0.8,Union Berlin,"10,383",Stadion im Borussia-Park,Tobias Stieler,Bundesliga,2,Urs Fischer,Union Berlin,3-4-3,Andreas Luthe,de GER,33-200,90,6,1,5,83.3,2.5,7,23,30.4,33,2,48.5,37.5,8,87.5,52.1,16,2,12.5,1,23.8
2,Sat,2020-09-26,15:30 ,Mainz 05,1.3,1–4,2.6,Stuttgart,"3,403",Opel Arena,Daniel Schlager,Bundesliga,2,Achim Beierlorzer,Mainz 05,4-2-3-1,Robin Zentner,de GER,25-334,90,7,4,3,42.9,3.9,0,7,0.0,39,5,15.4,27.5,8,12.5,22.4,18,0,0.0,3,17.7
2,Sat,2020-09-26,15:30 ,Mainz 05,1.3,1–4,2.6,Stuttgart,"3,403",Opel Arena,Daniel Schlager,Bundesliga,2,Pellegrino Matarazzo,Stuttgart,3-1-4-2,Gregor Kobel,ch SUI,22-295,90,2,1,1,50.0,0.9,7,14,50.0,24,4,41.7,35.3,9,44.4,39.3,13,0,0.0,3,23.7
2,Sat,2020-09-26,15:30 ,Arminia,0.2,1–0,1.4,Köln,"5,460",SchücoArena,Patrick Ittrich,Bundesliga,2,Uwe Neuhaus,Arminia,4-3-3,Stefan Ortega,de GER,27-325,90,2,0,2,100.0,0.8,15,20,75.0,58,2,32.8,32.9,5,20.0,27.8,19,1,5.3,2,16.0
2,Sat,2020-09-26,15:30 ,Arminia,0.2,1–0,1.4,Köln,"5,460",SchücoArena,Patrick Ittrich,Bundesliga,2,Markus Gisdol,Köln,4-2-3-1,Timo Horn,de GER,27-137,90,2,1,1,50.0,0.1,4,11,36.4,32,8,28.1,30.8,8,25.0,24.3,13,1,7.7,2,19.8
2,Sat,2020-09-26,18:30 ,Schalke 04,1.6,1–3,2.4,Werder Bremen,,Veltins-Arena,Markus Schmidt,Bundesliga,2,David Wagner,Schalke 04,4-2-3-1,Ralf Fährmann,de GER,31-365,90,7,3,4,71.4,2.4,3,9,33.3,32,6,21.9,27.0,7,28.6,31.7,14,0,0.0,4,20.0
2,Sat,2020-09-26,18:30 ,Schalke 04,1.6,1–3,2.4,Werder Bremen,,Veltins-Arena,Markus Schmidt,Bundesliga,2,Florian Kohfeldt,Werder Bremen,4-3-3,Jiří Pavlenka,cz CZE,28-165,90,4,1,3,75.0,1.0,5,15,33.3,19,5,57.9,44.7,4,100.0,63.3,19,4,21.1,1,10.0
2,Sun,2020-09-27,15:30 ,Hoffenheim,2.6,4–1,1.4,Bayern Munich,,PreZero Arena,Benjamin Brand,Bundesliga,2,Sebastian Hoeneß,Hoffenheim,3-4-3,Oliver Baumann,de GER,30-117,90,3,1,2,66.7,0.8,9,31,29.0,28,2,75.0,50.9,17,58.8,41.5,24,1,4.2,3,18.8
2,Sun,2020-09-27,15:30 ,Hoffenheim,2.6,4–1,1.4,Bayern Munich,,PreZero Arena,Benjamin Brand,Bundesliga,2,Hansi Flick,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,34-184,90,8,4,4,62.5,3.3,4,6,66.7,25,6,20.0,28.3,6,16.7,30.8,11,0,0.0,1,23.5
2,Sun,2020-09-27,18:00 ,Freiburg,1.3,1–1,0.5,Wolfsburg,"3,200",Schwarzwald-Stadion,Sören Storks,Bundesliga,2,Christian Streich,Freiburg,4-2-2-2,Florian Müller,de GER,22-319,90,2,1,1,50.0,0.8,3,11,27.3,25,2,20.0,27.2,10,60.0,46.2,4,0,0.0,0,1.0
2,Sun,2020-09-27,18:00 ,Freiburg,1.3,1–1,0.5,Wolfsburg,"3,200",Schwarzwald-Stadion,Sören Storks,Bundesliga,2,Oliver Glasner,Wolfsburg,4-2-3-1,Pavao Pervan,at AUT,32-319,90,7,1,6,85.7,1.6,7,17,41.2,23,1,47.8,38.6,9,66.7,49.2,23,0,0.0,0,10.0
3,Fri,2020-10-02,20:30 ,Union Berlin,2.5,4–0,0.3,Mainz 05,"4,400",Stadion An der Alten Försterei,Sascha Stegemann,Bundesliga,3,Urs Fischer,Union Berlin,3-4-3,Andreas Luthe,de GER,33-206,90,0,0,0,,0.0,3,17,17.6,27,2,44.4,40.9,6,83.3,57.0,10,1,10.0,1,15.3
3,Fri,2020-10-02,20:30 ,Union Berlin,2.5,4–0,0.3,Mainz 05,"4,400",Stadion An der Alten Försterei,Sascha Stegemann,Bundesliga,3,Jan-Moritz Lichte,Mainz 05,4-2-3-1,Robin Zentner,de GER,25-340,90,7,4,3,42.9,2.4,2,8,25.0,25,7,24.0,31.0,5,40.0,40.4,13,2,15.4,2,14.8
3,Sat,2020-10-03,15:30 ,Stuttgart,0.8,1–1,1.5,Leverkusen,"9,500",Mercedes-Benz Arena,Robert Hartmann,Bundesliga,3,Pellegrino Matarazzo,Stuttgart,3-1-4-2,Gregor Kobel,ch SUI,22-302,90,6,1,5,83.3,2.0,6,17,35.3,33,7,39.4,35.3,13,30.8,31.3,20,0,0.0,1,16.7
3,Sat,2020-10-03,15:30 ,Stuttgart,0.8,1–1,1.5,Leverkusen,"9,500",Mercedes-Benz Arena,Robert Hartmann,Bundesliga,3,Peter Bosz,Leverkusen,4-1-4-1,Lukáš Hrádecký,fi FIN,30-314,90,2,1,1,50.0,0.8,4,16,25.0,39,3,33.3,33.2,11,27.3,37.2,13,0,0.0,2,20.5
3,Sat,2020-10-03,15:30 ,Dortmund,2.5,4–0,0.5,Freiburg,"11,500",Signal Iduna Park,Guido Winkmann,Bundesliga,3,Lucien Favre,Dortmund,3-4-3,Marwin Hitz,ch SUI,33-015,90,2,0,2,100.0,0.3,4,6,66.7,32,6,15.6,25.1,3,33.3,26.7,9,0,0.0,1,16.7
3,Sat,2020-10-03,15:30 ,Dortmund,2.5,4–0,0.5,Freiburg,"11,500",Signal Iduna Park,Guido Winkmann,Bundesliga,3,Christian Streich,Freiburg,3-4-3,Florian Müller,de GER,22-325,90,7,4,3,42.9,3.0,4,17,23.5,30,3,33.3,37.4,10,70.0,51.0,5,0,0.0,0,11.0
3,Sat,2020-10-03,15:30 ,Köln,0.6,1–3,2.1,M'Gladbach,300,RheinEnergieSTADION,Marco Fritz,Bundesliga,3,Markus Gisdol,Köln,3-5-2,Timo Horn,de GER,27-144,90,10,3,7,80.0,2.5,6,16,37.5,31,5,48.4,39.9,2,50.0,47.5,15,0,0.0,2,15.0
3,Sat,2020-10-03,15:30 ,Köln,0.6,1–3,2.1,M'Gladbach,300,RheinEnergieSTADION,Marco Fritz,Bundesliga,3,Marco Rose,M'Gladbach,4-2-3-1,Yann Sommer,ch SUI,31-291,90,2,1,1,50.0,0.1,3,13,23.1,57,6,21.1,29.4,6,16.7,27.2,14,0,0.0,1,12.5
3,Sat,2020-10-03,15:30 ,Werder Bremen,0.4,1–0,1.1,Arminia,300,Weserstadion,Robert Schröder,Bundesliga,3,Florian Kohfeldt,Werder Bremen,5-3-2,Jiří Pavlenka,cz CZE,28-172,90,4,0,4,100.0,0.9,11,22,50.0,28,6,57.1,44.7,6,100.0,67.2,10,0,0.0,2,22.5
3,Sat,2020-10-03,15:30 ,Werder Bremen,0.4,1–0,1.1,Arminia,300,Weserstadion,Robert Schröder,Bundesliga,3,Uwe Neuhaus,Arminia,4-2-3-1,Stefan Ortega,de GER,27-332,90,2,1,1,50.0,0.7,14,21,66.7,72,7,27.8,30.7,7,14.3,30.3,11,0,0.0,1,24.3
3,Sat,2020-10-03,15:30 ,Eint Frankfurt,2.9,2–1,1.4,Hoffenheim,"8,000",Deutsche Bank Park,Manuel Gräfe,Bundesliga,3,Adi Hütter,Eint Frankfurt,3-4-1-2,Kevin Trapp,de GER,30-087,90,4,1,3,75.0,1.3,11,20,55.0,36,8,44.4,34.2,7,57.1,47.7,14,1,7.1,3,18.4
3,Sat,2020-10-03,15:30 ,Eint Frankfurt,2.9,2–1,1.4,Hoffenheim,"8,000",Deutsche Bank Park,Manuel Gräfe,Bundesliga,3,Sebastian Hoeneß,Hoffenheim,3-1-4-2,Oliver Baumann,de GER,30-123,90,6,2,4,66.7,2.3,4,15,26.7,40,7,32.5,32.7,12,16.7,29.3,13,1,7.7,0,9.3
3,Sat,2020-10-03,18:30 ,RB Leipzig,3.9,4–0,0.2,Schalke 04,"8,500",Red Bull Arena,Florian Badstübner,Bundesliga,3,Julian Nagelsmann,RB Leipzig,4-2-3-1,Péter Gulácsi,hu HUN,30-150,90,1,0,1,100.0,0.4,0,1,0.0,21,4,4.8,22.7,4,0.0,18.0,2,0,0.0,1,17.5
3,Sat,2020-10-03,18:30 ,RB Leipzig,3.9,4–0,0.2,Schalke 04,"8,500",Red Bull Arena,Florian Badstübner,Bundesliga,3,Manuel Baum,Schalke 04,3-5-2,Ralf Fährmann,de GER,32-006,45,3,3,1,0.0,1.4,6,14,42.9,18,2,50.0,35.2,6,83.3,46.8,8,,,,6.5
3,Sat,2020-10-03,18:30 ,RB Leipzig,3.9,4–0,0.2,Schalke 04,"8,500",Red Bull Arena,Florian Badstübner,Bundesliga,3,Manuel Baum,Schalke 04,3-5-2,Frederik Rønnow,dk DEN,28-060,45,4,1,3,100.0,2.0,1,4,25.0,13,3,23.1,32.5,6,16.7,24.8,9,0,0.0,0,
3,Sun,2020-10-04,15:30 ,Wolfsburg,1.0,0–0,1.2,Augsburg,"4,632",Volkswagen Arena,Felix Zwayer,Bundesliga,3,Oliver Glasner,Wolfsburg,4-3-3,Koen Casteels,be BEL,28-101,90,1,0,1,100.0,0.3,2,6,33.3,26,5,15.4,27.5,4,50.0,42.0,8,0,0.0,3,23.2
3,Sun,2020-10-04,15:30 ,Wolfsburg,1.0,0–0,1.2,Augsburg,"4,632",Volkswagen Arena,Felix Zwayer,Bundesliga,3,Heiko Herrlich,Augsburg,4-4-2,Rafał Gikiewicz,pl POL,32-344,90,6,0,6,100.0,1.2,6,23,26.1,30,8,53.3,41.1,9,77.8,55.3,26,1,3.8,0,10.7
3,Sun,2020-10-04,18:00 ,Bayern Munich,3.6,4–3,1.1,Hertha BSC,,Allianz Arena,Benjamin Cortus,Bundesliga,3,Hansi Flick,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,34-191,90,5,3,2,40.0,1.8,4,4,100.0,20,2,15.0,23.1,5,20.0,31.2,13,0,0.0,1,20.7
3,Sun,2020-10-04,18:00 ,Bayern Munich,3.6,4–3,1.1,Hertha BSC,,Allianz Arena,Benjamin Cortus,Bundesliga,3,Bruno Labbadia,Hertha BSC,4-4-1-1,Alexander Schwolow,de GER,28-124,90,9,4,5,66.7,4.7,3,13,23.1,17,2,35.3,34.8,11,63.6,51.4,24,0,0.0,0,5.0
4,Sat,2020-10-17,15:30 ,Augsburg,1.0,0–2,2.1,RB Leipzig,,WWK Arena,Felix Brych,Bundesliga,4,Heiko Herrlich,Augsburg,4-4-2,Rafał Gikiewicz,pl POL,32-357,90,4,2,2,50.0,1.8,6,18,33.3,36,5,41.7,35.0,8,37.5,32.4,18,1,5.6,0,8.5
4,Sat,2020-10-17,15:30 ,Augsburg,1.0,0–2,2.1,RB Leipzig,,WWK Arena,Felix Brych,Bundesliga,4,Julian Nagelsmann,RB Leipzig,3-4-3,Péter Gulácsi,hu HUN,30-164,90,2,0,2,100.0,0.8,2,3,66.7,30,7,6.7,20.5,2,50.0,47.5,9,0,0.0,2,40.5
4,Sat,2020-10-17,15:30 ,Freiburg,1.3,1–1,1.6,Werder Bremen,,Schwarzwald-Stadion,Christian Dingert,Bundesliga,4,Christian Streich,Freiburg,4-4-2,Florian Müller,de GER,22-339,90,4,1,3,100.0,1.4,4,8,50.0,17,2,23.5,30.2,9,44.4,43.2,11,0,0.0,0,11.5
4,Sat,2020-10-17,15:30 ,Freiburg,1.3,1–1,1.6,Werder Bremen,,Schwarzwald-Stadion,Christian Dingert,Bundesliga,4,Florian Kohfeldt,Werder Bremen,3-1-4-2,Jiří Pavlenka,cz CZE,28-186,90,4,1,3,75.0,1.0,9,16,56.3,23,3,47.8,41.1,11,45.5,42.5,22,1,4.5,2,13.0
4,Sat,2020-10-17,15:30 ,Hoffenheim,1.2,0–1,2.0,Dortmund,"6,030",PreZero Arena,Sascha Stegemann,Bundesliga,4,Sebastian Hoeneß,Hoffenheim,3-4-3,Oliver Baumann,de GER,30-137,90,4,1,3,75.0,0.7,4,15,26.7,43,6,32.6,30.3,6,16.7,25.5,11,0,0.0,3,26.8
4,Sat,2020-10-17,15:30 ,Hoffenheim,1.2,0–1,2.0,Dortmund,"6,030",PreZero Arena,Sascha Stegemann,Bundesliga,4,Lucien Favre,Dortmund,3-4-3,Marwin Hitz,ch SUI,33-029,90,3,0,3,100.0,0.5,9,17,52.9,29,6,41.4,34.2,7,71.4,55.0,14,1,7.1,0,8.7
4,Sat,2020-10-17,15:30 ,Hertha BSC,1.1,0–2,1.3,Stuttgart,"4,000",Olympiastadion Berlin,Harm Osmers,Bundesliga,4,Bruno Labbadia,Hertha BSC,4-2-3-1,Alexander Schwolow,de GER,28-137,90,2,2,0,0.0,0.7,6,10,60.0,38,10,23.7,31.4,8,12.5,21.9,11,0,0.0,1,21.5
4,Sat,2020-10-17,15:30 ,Hertha BSC,1.1,0–2,1.3,Stuttgart,"4,000",Olympiastadion Berlin,Harm Osmers,Bundesliga,4,Pellegrino Matarazzo,Stuttgart,3-4-3,Gregor Kobel,ch SUI,22-316,90,4,0,4,100.0,0.3,2,15,13.3,23,6,56.5,39.1,11,18.2,22.2,21,0,0.0,0,10.0
4,Sat,2020-10-17,15:30 ,Mainz 05,0.3,0–1,0.5,Leverkusen,250,Opel Arena,Bastian Dankert,Bundesliga,4,Jan-Moritz Lichte,Mainz 05,4-2-3-1,Robin Zentner,de GER,25-355,90,5,1,4,80.0,0.5,8,18,44.4,30,6,43.3,34.5,8,62.5,44.9,12,2,16.7,2,16.8
4,Sat,2020-10-17,15:30 ,Mainz 05,0.3,0–1,0.5,Leverkusen,250,Opel Arena,Bastian Dankert,Bundesliga,4,Peter Bosz,Leverkusen,4-1-4-1,Lukáš Hrádecký,fi FIN,30-328,90,0,0,0,,0.0,4,12,33.3,43,6,23.3,31.0,7,28.6,29.7,15,2,13.3,2,15.5
4,Sat,2020-10-17,18:30 ,Arminia,1.4,1–4,3.1,Bayern Munich,,SchücoArena,Daniel Siebert,Bundesliga,4,Uwe Neuhaus,Arminia,4-2-3-1,Stefan Ortega,de GER,27-346,90,9,4,5,55.6,3.4,9,21,42.9,45,4,44.4,39.5,8,12.5,23.4,27,1,3.7,0,8.4
4,Sat,2020-10-17,18:30 ,Arminia,1.4,1–4,3.1,Bayern Munich,,SchücoArena,Daniel Siebert,Bundesliga,4,Hansi Flick,Bayern Munich,4-2-3-1,Manuel Neuer,de GER,34-204,90,5,1,4,80.0,1.7,5,7,71.4,36,7,19.4,27.8,4,0.0,26.0,9,1,11.1,0,14.0
4,Sat,2020-10-17,20:30 ,M'Gladbach,1.9,1–1,1.4,Wolfsburg,300,Stadion im Borussia-Park,Daniel Schlager,Bundesliga,4,Marco Rose,M'Gladbach,4-2-3-1,Yann Sommer,ch SUI,31-305,90,6,1,5,83.3,1.1,2,9,22.2,27,4,29.6,32.0,7,14.3,20.7,13,0,0.0,0,13.5
4,Sat,2020-10-17,20:30 ,M'Gladbach,1.9,1–1,1.4,Wolfsburg,300,Stadion im Borussia-Park,Daniel Schlager,Bundesliga,4,Oliver Glasner,Wolfsburg,4-3-3,Koen Casteels,be BEL,28-114,90,2,1,1,100.0,1.1,6,18,33.3,40,6,27.5,33.2,8,87.5,54.3,13,0,0.0,0,
4,Sun,2020-10-18,15:30 ,Köln,1.4,1–1,1.9,Eint Frankfurt,300,RheinEnergieSTADION,Sven Jablonski,Bundesliga,4,Markus Gisdol,Köln,4-1-4-1,Timo Horn,de GER,27-159,90,4,1,3,100.0,1.1,11,22,50.0,27,1,55.6,39.5,9,77.8,50.4,19,1,5.3,0,14.3
4,Sun,2020-10-18,15:30 ,Köln,1.4,1–1,1.9,Eint Frankfurt,300,RheinEnergieSTADION,Sven Jablonski,Bundesliga,4,Adi Hütter,Eint Frankfurt,3-4-1-2,Kevin Trapp,de GER,30-102,90,5,1,4,80.0,2.0,19,29,65.5,50,2,48.0,34.1,5,100.0,72.8,12,0,0.0,2,15.8
4,Sun,2020-10-18,18:00 ,Schalke 04,0.4,1–1,1.0,Union Berlin,300,Veltins-Arena,Patrick Ittrich,Bundesliga,4,Manuel Baum,Schalke 04,4-3-3,Frederik Rønnow,dk DEN,28-075,90,6,1,5,83.3,1.6,5,13,38.5,28,6,21.4,28.1,11,63.6,47.7,14,0,0.0,0,
4,Sun,2020-10-18,18:00 ,Schalke 04,0.4,1–1,1.0,Union Berlin,300,Veltins-Arena,Patrick Ittrich,Bundesliga,4,Urs Fischer,Union Berlin,4-2-3-1,Andreas Luthe,de GER,33-222,90,4,1,3,75.0,0.3,7,17,41.2,27,2,55.6,41.1,3,66.7,46.3,10,0,0.0,0,15.0
5,Fri,2020-10-23,20:30 ,Stuttgart,0.8,1–1,2.2,Köln,,Mercedes-Benz Arena,Guido Winkmann,Bundesliga,5,Pellegrino Matarazzo,Stuttgart,3-4-3,Gregor Kobel,ch SUI,22-322,90,4,1,3,100.0,1.9,7,11,63.6,23,4,34.8,28.6,10,30.0,29.8,25,0,0.0,1,13.3
5,Fri,2020-10-23,20:30 ,Stuttgart,0.8,1–1,2.2,Köln,,Mercedes-Benz Arena,Guido Winkmann,Bundesliga,5,Markus Gisdol,Köln,4-3-3,Timo Horn,de GER,27-164,90,4,1,3,75.0,1.2,9,16,56.3,36,3,41.7,35.7,8,12.5,22.3,9,0,0.0,1,13.3
5,Sat,2020-10-24,15:30 ,Mainz 05,1.9,2–3,3.0,M'Gladbach,100,Opel Arena,Frank Willenborg,Bundesliga,5,Jan-Moritz Lichte,Mainz 05,4-2-3-1,Robin Zentner,de GER,25-362,90,11,3,8,81.8,4.9,5,24,20.8,43,7,39.5,35.4,7,100.0,75.3,16,0,0.0,3,21.8
5,Sat,2020-10-24,15:30 ,Mainz 05,1.9,2–3,3.0,M'Gladbach,100,Opel Arena,Frank Willenborg,Bundesliga,5,Marco Rose,M'Gladbach,3-5-2,Yann Sommer,ch SUI,31-312,90,7,2,5,71.4,2.6,3,8,37.5,30,4,26.7,31.0,4,0.0,15.0,10,0,0.0,0,
